categoria,material,c_min,c_tipico,c_max,condicao,fonte
Tubo de concreto,Concreto - acabamento comum,100,115,120,em uso 10-20 anos,Azevedo Netto et al. (1998); Porto (2006)
Tubo de concreto,Concreto - acabamento rugoso,69,100,120,novo,Zocoler/UNESP-FEIS; Lamont (1981)
Tubo de concreto,Concreto centrifugado,120,120,150,novo,Lamont (1981)
Tubo de concreto,Concreto protendido,140,150,153,novo,Lamont (1981)
Tubo de concreto,Cimento-amianto / fibrocimento,120,140,150,novo,Azevedo Netto et al. (1998)
Tubo de concreto,Cimento-amianto / fibrocimento,120,130,140,em uso 10-20 anos,Azevedo Netto et al. (1998)
Tubo cerâmico,Vidro,130,140,150,todas idades,Azevedo Netto et al. (1998)
Tubo cerâmico,Manilha cerâmica / gres vidrado,100,110,110,todas idades,Azevedo Netto et al. (1998); Porto (2006)
Tubo de material composto,Fiberglass / PRFV / GRP,140,150,150,novo,AWWA C950; NCRPB India Manual
Tubo de madeira,Madeira em aduelas,110,120,145,todas idades,Azevedo Netto et al. (1998); PPI Field Handbook
Alvenaria,Tijolos - condutos bem executados,90,100,100,variavel segundo idade,Azevedo Netto et al. (1998); Porto (2006)
